"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"BHMT","Approved symbol","BHMT","betaine--homocysteine S-methyltransferase","HGNC:1047","5q14.1"
"TYMS","Approved symbol","TYMS","thymidylate synthetase","HGNC:12441","18p11.32"
"MYRF","Approved symbol","MYRF","myelin regulatory factor","HGNC:1181","11q12.2"
"TOMM40","Approved symbol","TOMM40","translocase of outer mitochondrial membrane 40","HGNC:18001","19q13.32"
"PDX1","Approved symbol","PDX1","pancreatic and duodenal homeobox 1","HGNC:6107","13q12.2"
"PDX1","Alias symbol","PDHX","pyruvate dehydrogenase complex component X","HGNC:21350","11p13"
"HNF1A","Approved symbol","HNF1A","HNF1 homeobox A","HGNC:11621","12q24.31"
"KALRN","Approved symbol","KALRN","kalirin RhoGEF kinase","HGNC:4814","3q21.1-q21.2"
"LIPG","Approved symbol","LIPG","lipase G, endothelial type","HGNC:6623","18q21.1"
"HLA-A","Approved symbol","HLA-A","major histocompatibility complex, class I, A","HGNC:4931","6p22.1"
"PHACTR1","Approved symbol","PHACTR1","phosphatase and actin regulator 1","HGNC:20990","6p24.1"
"FOLH1","Approved symbol","FOLH1","folate hydrolase 1","HGNC:3788","11p11.12"
"GCH1","Approved symbol","GCH1","GTP cyclohydrolase 1","HGNC:4193","14q22.2"
"HBA1","Approved symbol","HBA1","hemoglobin subunit alpha 1","HGNC:4823","16p13.3"
"HLA-B","Approved symbol","HLA-B","major histocompatibility complex, class I, B","HGNC:4932","6p21.33"
"SERPING1","Approved symbol","SERPING1","serpin family G member 1","HGNC:1228","11q12.1"
"AGXT2","Approved symbol","AGXT2","alanine--glyoxylate aminotransferase 2","HGNC:14412","5p13.2"
"H19","Approved symbol","H19","H19 imprinted maternally expressed transcript","HGNC:4713","11p15.5"
"SERPINC1","Approved symbol","SERPINC1","serpin family C member 1","HGNC:775","1q25.1"
"VWF","Approved symbol","VWF","von Willebrand factor","HGNC:12726","12p13.31"
"NOS3","Approved symbol","NOS3","nitric oxide synthase 3","HGNC:7876","7q36.1"
"NOS3","Alias symbol","NANOS3","nanos C2HC-type zinc finger 3","HGNC:22048","19p13.12"
"NOTCH3","Approved symbol","NOTCH3","notch receptor 3","HGNC:7883","19p13.12"
"GRN","Approved symbol","GRN","granulin precursor","HGNC:4601","17q21.31"
"ACSL4","Approved symbol","ACSL4","acyl-CoA synthetase long chain family member 4","HGNC:3571","Xq23"
"FBN1","Approved symbol","FBN1","fibrillin 1","HGNC:3603","15q21.1"
"PRKCH-AS1","Approved symbol","PRKCH-AS1","PRKCH antisense RNA 1","HGNC:55588","14q23.1"
"COX2","Alias symbol","MT-CO2","mitochondrially encoded cytochrome c oxidase II","HGNC:7421","mitochondria"
"COX2","Alias symbol","PTGS2","prostaglandin-endoperoxide synthase 2","HGNC:9605","1q31.1"
"CYTB","Alias symbol","MT-CYB","mitochondrially encoded cytochrome b","HGNC:7427","mitochondria"
"SERPIND1","Approved symbol","SERPIND1","serpin family D member 1","HGNC:4838","22q11.21"
"PI4KA","Approved symbol","PI4KA","phosphatidylinositol 4-kinase alpha","HGNC:8983","22q11.21"
"TP63","Approved symbol","TP63","tumor protein p63","HGNC:15979","3q28"
"NPPA","Approved symbol","NPPA","natriuretic peptide A","HGNC:7939","1p36.22"
"TGFB1","Approved symbol","TGFB1","transforming growth factor beta 1","HGNC:11766","19q13.2"
"NPPB","Approved symbol","NPPB","natriuretic peptide B","HGNC:7940","1p36.22"
"LPL","Approved symbol","LPL","lipoprotein lipase","HGNC:6677","8p21.3"
"HP","Approved symbol","HP","haptoglobin","HGNC:5141","16q22.2"
"HP","Alias symbol","DLC1","DLC1 Rho GTPase activating protein","HGNC:2897","8p22"
"OLR1","Approved symbol","OLR1","oxidized low density lipoprotein receptor 1","HGNC:8133","12p13.2"
"AGT","Approved symbol","AGT","angiotensinogen","HGNC:333","1q42.2"
"AGT","Alias symbol","AGXT","alanine--glyoxylate aminotransferase","HGNC:341","2q37.3"
"TNNI3","Approved symbol","TNNI3","troponin I3, cardiac type","HGNC:11947","19q13.42"
"PAPPA","Approved symbol","PAPPA","pappalysin 1","HGNC:8602","9q33.1"
"SOD1","Approved symbol","SOD1","superoxide dismutase 1","HGNC:11179","21q22.11"
"ALDH2","Approved symbol","ALDH2","aldehyde dehydrogenase 2 family member","HGNC:404","12q24.12"
"TLR4","Approved symbol","TLR4","toll like receptor 4","HGNC:11850","9q33.1"
"LPA","Approved symbol","LPA","lipoprotein(a)","HGNC:6667","6q25.3-q26"
"PECAM1","Approved symbol","PECAM1","platelet and endothelial cell adhesion molecule 1","HGNC:8823","17q23.3"
"TP53","Approved symbol","TP53","tumor protein p53","HGNC:11998","17p13.1"
"SH2B3","Approved symbol","SH2B3","SH2B adaptor protein 3","HGNC:29605","12q24.12"
"REN","Approved symbol","REN","renin","HGNC:9958","1q32.1"
"REN","Alias symbol","KCTD11","potassium channel tetramerization domain containing 11","HGNC:21302","17p13.1"
"EPO","Approved symbol","EPO","erythropoietin","HGNC:3415","7q22.1"
"EPO","Alias symbol","TIMP1","TIMP metallopeptidase inhibitor 1","HGNC:11820","Xp11.3"
"EPO","Alias symbol","EPX","eosinophil peroxidase","HGNC:3423","17q22"
"IGF1","Approved symbol","IGF1","insulin like growth factor 1","HGNC:5464","12q23.2"
"SERPINE1","Approved symbol","SERPINE1","serpin family E member 1","HGNC:8583","7q22.1"
"CCL2","Approved symbol","CCL2","C-C motif chemokine ligand 2","HGNC:10618","17q12"
"CD14","Approved symbol","CD14","CD14 molecule","HGNC:1628","5q31.3"
"AGTR1","Approved symbol","AGTR1","angiotensin II receptor type 1","HGNC:336","3q24"
"AGER","Approved symbol","AGER","advanced glycosylation end-product specific receptor","HGNC:320","6p21.32"
"HGF","Approved symbol","HGF","hepatocyte growth factor","HGNC:4893","7q21.11"
"HGF","Alias symbol","IL6","interleukin 6","HGNC:6018","7p15.3"
"HGF","Alias symbol","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1","HGNC:11187","2p22.1"
"HIF1A","Approved symbol","HIF1A","hypoxia inducible factor 1 subunit alpha","HGNC:4910","14q23.2"
"TNFSF4","Approved symbol","TNFSF4","TNF superfamily member 4","HGNC:11934","1q25.1"
"SELP","Approved symbol","SELP","selectin P","HGNC:10721","1q24.2"
"SELP","Alias symbol","SELENOP","selenoprotein P","HGNC:10751","5p12"
"CCR2","Approved symbol","CCR2","C-C motif chemokine receptor 2","HGNC:1603","3p21.31"
"APOA1","Approved symbol","APOA1","apolipoprotein A1","HGNC:600","11q23.3"
"KDR","Approved symbol","KDR","kinase insert domain receptor","HGNC:6307","4q12"
"NOS2","Approved symbol","NOS2","nitric oxide synthase 2","HGNC:7873","17q11.2"
"NOS2","Alias symbol","NANOS2","nanos C2HC-type zinc finger 2","HGNC:23292","19q13.32"
"NR3C2","Approved symbol","NR3C2","nuclear receptor subfamily 3 group C member 2","HGNC:7979","4q31.23"
"CKM","Approved symbol","CKM","creatine kinase, M-type","HGNC:1994","19q13.32"
"ICAM1","Approved symbol","ICAM1","intercellular adhesion molecule 1","HGNC:5344","19p13.2"
"ITGB3","Approved symbol","ITGB3","integrin subunit beta 3","HGNC:6156","17q21.32"
"LGALS3","Approved symbol","LGALS3","galectin 3","HGNC:6563","14q22.3"
"P2RY12","Approved symbol","P2RY12","purinergic receptor P2Y12","HGNC:18124","3q25.1"
"CASP3","Approved symbol","CASP3","caspase 3","HGNC:1504","4q35.1"
"KIF6","Approved symbol","KIF6","kinesin family member 6","HGNC:21202","6p21.2"
"F13A1","Approved symbol","F13A1","coagulation factor XIII A chain","HGNC:3531","6p25.1"
"HMGB1","Approved symbol","HMGB1","high mobility group box 1","HGNC:4983","13q12.3"
"CKB","Approved symbol","CKB","creatine kinase B","HGNC:1991","14q32.33"
"CSF3","Approved symbol","CSF3","colony stimulating factor 3","HGNC:2438","17q21.1"
"COL4A1","Approved symbol","COL4A1","collagen type IV alpha 1 chain","HGNC:2202","13q34"
"LGALS2","Approved symbol","LGALS2","galectin 2","HGNC:6562","22q13.1"
"LGALS2","Previous symbol","LGALS3","galectin 3","HGNC:6563","14q22.3"
"MIAT","Approved symbol","MIAT","myocardial infarction associated transcript","HGNC:33425","22q12.1"
"S100B","Approved symbol","S100B","S100 calcium binding protein B","HGNC:10500","21q22.3"
"ESR1","Approved symbol","ESR1","estrogen receptor 1","HGNC:3467","6q25.1-q25.2"
"CAT","Approved symbol","CAT","catalase","HGNC:1516","11p13"
"PTGS2","Approved symbol","PTGS2","prostaglandin-endoperoxide synthase 2","HGNC:9605","1q31.1"
"NGF","Approved symbol","NGF","nerve growth factor","HGNC:7808","1p13.2"
"SPP1","Approved symbol","SPP1","secreted phosphoprotein 1","HGNC:11255","4q22.1"
"SPP1","Alias symbol","CXXC1","CXXC finger protein 1","HGNC:24343","18q21.1"
"MMP1","Approved symbol","MMP1","matrix metallopeptidase 1","HGNC:7155","11q22.2"
"ADRB2","Approved symbol","ADRB2","adrenoceptor beta 2","HGNC:286","5q32"
"GP1BA","Approved symbol","GP1BA","glycoprotein Ib platelet subunit alpha","HGNC:4439","17p13.2"
"BAX","Approved symbol","BAX","BCL2 associated X, apoptosis regulator","HGNC:959","19q13.33"
"PSMA6","Approved symbol","PSMA6","proteasome 20S subunit alpha 6","HGNC:9535","14q13.2"
"BCL2","Approved symbol","BCL2","BCL2 apoptosis regulator","HGNC:990","18q21.33"
"TIMP2","Approved symbol","TIMP2","TIMP metallopeptidase inhibitor 2","HGNC:11821","17q25.3"
"MYH7","Approved symbol","MYH7","myosin heavy chain 7","HGNC:7577","14q11.2"
"BRAP","Approved symbol","BRAP","BRCA1 associated protein","HGNC:1099","12q24.12"
"BRAP","Alias symbol","C6orf89","chromosome 6 open reading frame 89","HGNC:21114","6p21.2"
"MIA3","Approved symbol","MIA3","MIA SH3 domain ER export factor 3","HGNC:24008","1q41"
"MIR145","Approved symbol","MIR145","microRNA 145","HGNC:31532","5q32"
"F12","Approved symbol","F12","coagulation factor XII","HGNC:3530","5q35.3"
"NRG1","Approved symbol","NRG1","neuregulin 1","HGNC:7997","8p12"
"ITGA2","Approved symbol","ITGA2","integrin subunit alpha 2","HGNC:6137","5q11.2"
"MMP3","Approved symbol","MMP3","matrix metallopeptidase 3","HGNC:7173","11q22.2"
"GP6","Approved symbol","GP6","glycoprotein VI platelet","HGNC:14388","19q13.42"
"FGB","Approved symbol","FGB","fibrinogen beta chain","HGNC:3662","4q31.3"
"SELL","Approved symbol","SELL","selectin L","HGNC:10720","1q24.2"
"ATM","Approved symbol","ATM","ATM serine/threonine kinase","HGNC:795","11q22.3"
"GGT1","Approved symbol","GGT1","gamma-glutamyltransferase 1","HGNC:4250","22q11.23"
"GATA4","Approved symbol","GATA4","GATA binding protein 4","HGNC:4173","8p23.1"
"PPARGC1A","Approved symbol","PPARGC1A","PPARG coactivator 1 alpha","HGNC:9237","4p15.2"
"KLK1","Approved symbol","KLK1","kallikrein 1","HGNC:6357","19q13.33"
"SOD3","Approved symbol","SOD3","superoxide dismutase 3","HGNC:11181","4p15.2"
"FTO","Approved symbol","FTO","FTO alpha-ketoglutarate dependent dioxygenase","HGNC:24678","16q12.2"
"ANXA5","Approved symbol","ANXA5","annexin A5","HGNC:543","4q27"
"MMP14","Approved symbol","MMP14","matrix metallopeptidase 14","HGNC:7160","14q11.2"
"ADRA2B","Approved symbol","ADRA2B","adrenoceptor alpha 2B","HGNC:282","2q11.2"
"CIITA","Approved symbol","CIITA","class II major histocompatibility complex transactivator","HGNC:7067","16p13.13"
"PPARA","Approved symbol","PPARA","peroxisome proliferator activated receptor alpha","HGNC:9232","22q13.31"
"LRP8","Approved symbol","LRP8","LDL receptor related protein 8","HGNC:6700","1p32.3"
"TFPI","Approved symbol","TFPI","tissue factor pathway inhibitor","HGNC:11760","2q32.1"
"VEGFB","Approved symbol","VEGFB","vascular endothelial growth factor B","HGNC:12681","11q13.1"
"MGP","Approved symbol","MGP","matrix Gla protein","HGNC:7060","12p12.3"
"GCLM","Approved symbol","GCLM","glutamate-cysteine ligase modifier subunit","HGNC:4312","1p22.1"
"PLN","Approved symbol","PLN","phospholamban","HGNC:9080","6q22.31"
"WDR12","Approved symbol","WDR12","WD repeat domain 12","HGNC:14098","2q33.2"
"PRKCE","Approved symbol","PRKCE","protein kinase C epsilon","HGNC:9401","2p21"
"TM6SF2","Approved symbol","TM6SF2","transmembrane 6 superfamily member 2","HGNC:11861","19p13.11"
"SOD2","Approved symbol","SOD2","superoxide dismutase 2","HGNC:11180","6q25.3"
"GSK3B","Approved symbol","GSK3B","glycogen synthase kinase 3 beta","HGNC:4617","3q13.33"
"PDE3A","Approved symbol","PDE3A","phosphodiesterase 3A","HGNC:8778","12p12.2"
"BECN1","Approved symbol","BECN1","beclin 1","HGNC:1034","17q21.31"
"LDHA","Approved symbol","LDHA","lactate dehydrogenase A","HGNC:6535","11p15.1"
"GJA4","Approved symbol","GJA4","gap junction protein alpha 4","HGNC:4278","1p34.3"
"ANG","Approved symbol","ANG","angiogenin","HGNC:483","14q11.2"
"HFE","Approved symbol","HFE","homeostatic iron regulator","HGNC:4886","6p22.2"
"BRINP3","Approved symbol","BRINP3","BMP/retinoic acid inducible neural specific 3","HGNC:22393","1q31.1"
"NPR1","Approved symbol","NPR1","natriuretic peptide receptor 1","HGNC:7943","1q21.3"
"CLU","Approved symbol","CLU","clusterin","HGNC:2095","8p21.1"
"FGF1","Approved symbol","FGF1","fibroblast growth factor 1","HGNC:3665","5q31.3"
"APEX1","Approved symbol","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1","HGNC:587","14q11.2"
"ND2","Alias symbol","MT-ND2","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2","HGNC:7456","mitochondria"
"CYP2J2","Approved symbol","CYP2J2","cytochrome P450 family 2 subfamily J member 2","HGNC:2634","1p32.1"
"GH1","Approved symbol","GH1","growth hormone 1","HGNC:4261","17q23.3"
"LRP1","Approved symbol","LRP1","LDL receptor related protein 1","HGNC:6692","12q13.3"
"LRP1","Alias symbol","C1D","C1D nuclear receptor corepressor","HGNC:29911","2p14"
"ADD1","Approved symbol","ADD1","adducin 1","HGNC:243","4p16.3"
"PGF","Approved symbol","PGF","placental growth factor","HGNC:8893","14q24.3"
"APOA4","Approved symbol","APOA4","apolipoprotein A4","HGNC:602","11q23.3"
"APOH","Approved symbol","APOH","apolipoprotein H","HGNC:616","17q24.2"
"ISL1","Approved symbol","ISL1","ISL LIM homeobox 1","HGNC:6132","5q11.1"
"ITIH4","Approved symbol","ITIH4","inter-alpha-trypsin inhibitor heavy chain 4","HGNC:6169","3p21.1"
"LRPAP1","Approved symbol","LRPAP1","LDL receptor related protein associated protein 1","HGNC:6701","4p16.3"
"IL1RN","Approved symbol","IL1RN","interleukin 1 receptor antagonist","HGNC:6000","2q14.1"
"GCLC","Approved symbol","GCLC","glutamate-cysteine ligase catalytic subunit","HGNC:4311","6p12.1"
"WRN","Approved symbol","WRN","WRN RecQ like helicase","HGNC:12791","8p12"
"COL6A3","Approved symbol","COL6A3","collagen type VI alpha 3 chain","HGNC:2213","2q37.3"
"CREM","Approved symbol","CREM","cAMP responsive element modulator","HGNC:2352","10p11.21"
"ACTA2","Approved symbol","ACTA2","actin alpha 2, smooth muscle","HGNC:130","10q23.31"
"DGKZ","Approved symbol","DGKZ","diacylglycerol kinase zeta","HGNC:2857","11p11.2"
"HSD11B2","Approved symbol","HSD11B2","hydroxysteroid 11-beta dehydrogenase 2","HGNC:5209","16q22.1"
"CREB1","Approved symbol","CREB1","cAMP responsive element binding protein 1","HGNC:2345","2q33.3"
"TNFRSF12A","Approved symbol","TNFRSF12A","TNF receptor superfamily member 12A","HGNC:18152","16p13.3"
"MFF","Approved symbol","MFF","mitochondrial fission factor","HGNC:24858","2q36.3"
"BCL2L1","Approved symbol","BCL2L1","BCL2 like 1","HGNC:992","20q11.21"
"MLXIPL","Approved symbol","MLXIPL","MLX interacting protein like","HGNC:12744","7q11.23"
"PCSK2","Approved symbol","PCSK2","proprotein convertase subtilisin/kexin type 2","HGNC:8744","20p12.1"
"CYP2R1","Approved symbol","CYP2R1","cytochrome P450 family 2 subfamily R member 1","HGNC:20580","11p15.2"
"XRCC3","Approved symbol","XRCC3","X-ray repair cross complementing 3","HGNC:12830","14q32.33"
"CTLA4","Approved symbol","CTLA4","cytotoxic T-lymphocyte associated protein 4","HGNC:2505","2q33.2"
"HSPA5","Approved symbol","HSPA5","heat shock protein family A (Hsp70) member 5","HGNC:5238","9q33.3"
"MIR423","Approved symbol","MIR423","microRNA 423","HGNC:31880","17q11.2"
"VDAC1","Approved symbol","VDAC1","voltage dependent anion channel 1","HGNC:12669","5q31.1"
"DAB2IP","Approved symbol","DAB2IP","DAB2 interacting protein","HGNC:17294","9q33.2"
"DDIT3","Approved symbol","DDIT3","DNA damage inducible transcript 3","HGNC:2726","12q13.3"
"MESP1","Approved symbol","MESP1","mesoderm posterior bHLH transcription factor 1","HGNC:29658","15q26.1"
"CLCN1","Approved symbol","CLCN1","chloride voltage-gated channel 1","HGNC:2019","7q34"
"IL18BP","Approved symbol","IL18BP","interleukin 18 binding protein","HGNC:5987","11q13.4"
"ADORA3","Approved symbol","ADORA3","adenosine A3 receptor","HGNC:268","1p13.2"
"MIR30C1","Approved symbol","MIR30C1","microRNA 30c-1","HGNC:31626","1p34.2"
"ATP1A1","Approved symbol","ATP1A1","ATPase Na+/K+ transporting subunit alpha 1","HGNC:799","1p13.1"
"NRIP1","Approved symbol","NRIP1","nuclear receptor interacting protein 1","HGNC:8001","21q11.2-q21.1"
"MIR761","Approved symbol","MIR761","microRNA 761","HGNC:37305","1p32.3"
"ADORA1","Approved symbol","ADORA1","adenosine A1 receptor","HGNC:262","1q32.1"
"KLF13","Approved symbol","KLF13","KLF transcription factor 13","HGNC:13672","15q13.3"
"PHLDA3","Approved symbol","PHLDA3","pleckstrin homology like domain family A member 3","HGNC:8934","1q32.1"
"MIR125B2","Approved symbol","MIR125B2","microRNA 125b-2","HGNC:31507","21q21.1"
"BAK1","Approved symbol","BAK1","BCL2 antagonist/killer 1","HGNC:949","6p21.31"
"GATA5","Approved symbol","GATA5","GATA binding protein 5","HGNC:15802","20q13.33"
"DRAM1","Approved symbol","DRAM1","DNA damage regulated autophagy modulator 1","HGNC:25645","12q23.2"
"IDH2","Approved symbol","IDH2","isocitrate dehydrogenase (NADP(+)) 2","HGNC:5383","15q26.1"
"ATP2A2","Approved symbol","ATP2A2","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2","HGNC:812","12q24.11"
"CACNA1S","Approved symbol","CACNA1S","calcium voltage-gated channel subunit alpha1 S","HGNC:1397","1q32.1"
"LOC129391106","Unmatched","","","",""
"LOC126862902","Unmatched","","","",""
"LOC130064350","Unmatched","","","",""
"LOC130064357","Unmatched","","","",""
"IFNG","Approved symbol","IFNG","interferon gamma","HGNC:5438","12q15"
"IL2","Approved symbol","IL2","interleukin 2","HGNC:6001","4q27"
"TNFRSF1A","Approved symbol","TNFRSF1A","TNF receptor superfamily member 1A","HGNC:11916","12p13.31"
"STAT3","Approved symbol","STAT3","signal transducer and activator of transcription 3","HGNC:11364","17q21.2"
"TLR3","Approved symbol","TLR3","toll like receptor 3","HGNC:11849","4q35.1"
"HTR1A","Approved symbol","HTR1A","5-hydroxytryptamine receptor 1A","HGNC:5286","5q12.3"
"PTGES","Approved symbol","PTGES","prostaglandin E synthase","HGNC:9599","9q34.11"
"HTR2A","Approved symbol","HTR2A","5-hydroxytryptamine receptor 2A","HGNC:5293","13q14.2"
"NOS1","Approved symbol","NOS1","nitric oxide synthase 1","HGNC:7872","12q24.22"
"NOS1","Alias symbol","NANOS1","nanos C2HC-type zinc finger 1","HGNC:23044","10q26.11"
"CRH","Approved symbol","CRH","corticotropin releasing hormone","HGNC:2355","8q13.1"
"POMC","Approved symbol","POMC","proopiomelanocortin","HGNC:9201","2p23.3"
"NLRP3","Approved symbol","NLRP3","NLR family pyrin domain containing 3","HGNC:16400","1q44"
"MVK","Approved symbol","MVK","mevalonate kinase","HGNC:7530","12q24.11"
"PRL","Approved symbol","PRL","prolactin","HGNC:9445","6p22.3"
"CCK","Approved symbol","CCK","cholecystokinin","HGNC:1569","3p22.1"
"HMBS","Approved symbol","HMBS","hydroxymethylbilane synthase","HGNC:4982","11q23.3"
"PRKCD","Approved symbol","PRKCD","protein kinase C delta","HGNC:9399","3p21.1"
"ASPG","Approved symbol","ASPG","asparaginase","HGNC:20123","14q32.33"
"FSHB","Approved symbol","FSHB","follicle stimulating hormone subunit beta","HGNC:3964","11p14.1"
"TPH2","Approved symbol","TPH2","tryptophan hydroxylase 2","HGNC:20692","12q21.1"
"TPH2","Alias symbol","TDO2","tryptophan 2,3-dioxygenase","HGNC:11708","4q32.1"
"EPHX1","Approved symbol","EPHX1","epoxide hydrolase 1","HGNC:3401","1q42.12"
"GPX1","Approved symbol","GPX1","glutathione peroxidase 1","HGNC:4553","3p21.31"
"AVP","Approved symbol","AVP","arginine vasopressin","HGNC:894","20p13"
"AVP","Alias symbol","NLRP3","NLR family pyrin domain containing 3","HGNC:16400","1q44"
"CNR1","Approved symbol","CNR1","cannabinoid receptor 1","HGNC:2159","6q15"
"CNR1","Alias symbol","PCDHA@","protocadherin alpha cluster, complex locus","HGNC:8662","5q31"
"CNR1","Alias symbol","PCDHA4","protocadherin alpha 4","HGNC:8670","5q31.3"
"TRH","Approved symbol","TRH","thyrotropin releasing hormone","HGNC:12298","3q22.1"
"IL12B","Approved symbol","IL12B","interleukin 12B","HGNC:5970","5q33.3"
"IL12A","Approved symbol","IL12A","interleukin 12A","HGNC:5969","3q25.33"
"CHRNB2","Approved symbol","CHRNB2","cholinergic receptor nicotinic beta 2 subunit","HGNC:1962","1q21.3"
"GNRH1","Approved symbol","GNRH1","gonadotropin releasing hormone 1","HGNC:4419","8p21.2"
"TSHB","Approved symbol","TSHB","thyroid stimulating hormone subunit beta","HGNC:12372","1p13.2"
"GCG","Approved symbol","GCG","glucagon","HGNC:4191","2q24.2"
"HCRT","Approved symbol","HCRT","hypocretin neuropeptide precursor","HGNC:4847","17q21.2"
"LHB","Approved symbol","LHB","luteinizing hormone subunit beta","HGNC:6584","19q13.33"
"NCF1","Approved symbol","NCF1","neutrophil cytosolic factor 1","HGNC:7660","7q11.23"
