Input	Match type	Approved symbol	Approved name	HGNC ID	Location
GRIK2	Approved symbol	GRIK2	glutamate ionotropic receptor kainate type subunit 2	HGNC:4580	6q16.3
TRPA1	Approved symbol	TRPA1	transient receptor potential cation channel subfamily A member 1	HGNC:497	8q21.11
TRPM8	Approved symbol	TRPM8	transient receptor potential cation channel subfamily M member 8	HGNC:17961	2q37.1
OPN4	Approved symbol	OPN4	opsin 4	HGNC:14449	10q23.2
ADRA2A	Approved symbol	ADRA2A	adrenoceptor alpha 2A	HGNC:281	10q25.2
RHO	Approved symbol	RHO	rhodopsin	HGNC:10012	3q22.1
ZNF516	Approved symbol	ZNF516	zinc finger protein 516	HGNC:28990	18q23
ADIPOR2	Approved symbol	ADIPOR2	adiponectin receptor 2	HGNC:24041	12p13.33
CMKLR1	Approved symbol	CMKLR1	chemerin chemokine-like receptor 1	HGNC:2121	12q23.3
OGT	Approved symbol	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	HGNC:8127	Xq13.1
SIRT6	Approved symbol	SIRT6	sirtuin 6	HGNC:14934	19p13.3
GNAS	Approved symbol	GNAS	GNAS complex locus	HGNC:4392	20q13.32
DIO2	Approved symbol	DIO2	iodothyronine deiodinase 2	HGNC:2884	14q31.1
CD36	Approved symbol	CD36	CD36 molecule (CD36 blood group)	HGNC:1663	7q21.11
SLN	Approved symbol	SLN	sarcolipin	HGNC:11089	11q22.3
EPAS1	Approved symbol	EPAS1	endothelial PAS domain protein 1	HGNC:3374	2p21
GATM	Approved symbol	GATM	glycine amidinotransferase	HGNC:4175	15q21.1
JAK2	Approved symbol	JAK2	Janus kinase 2	HGNC:6192	9p24.1
OVOL2	Approved symbol	OVOL2	ovo like zinc finger 2	HGNC:15804	20p11.23
FABP5	Approved symbol	FABP5	fatty acid binding protein 5	HGNC:3560	8q21.13
PHOX2B	Approved symbol	PHOX2B	paired like homeobox 2B	HGNC:9143	4p13
GPR3	Approved symbol	GPR3	G protein-coupled receptor 3	HGNC:4484	1p36.11
ALMS1	Approved symbol	ALMS1	ALMS1 centrosome and basal body associated protein	HGNC:428	2p13.1
CPT2	Approved symbol	CPT2	carnitine palmitoyltransferase 2	HGNC:2330	1p32.3
IL4R	Approved symbol	IL4R	interleukin 4 receptor	HGNC:6015	16p12.1
KDM1A	Approved symbol	KDM1A	lysine demethylase 1A	HGNC:29079	1p36.12
IRF4	Approved symbol	IRF4	interferon regulatory factor 4	HGNC:6119	6p25.3
ADIPOQ	Approved symbol	ADIPOQ	adiponectin, C1Q and collagen domain containing	HGNC:13633	3q27.3
SCD	Approved symbol	SCD	stearoyl-CoA desaturase	HGNC:10571	10q24.31
SYK	Approved symbol	SYK	spleen associated tyrosine kinase	HGNC:11491	9q22.2
GRB10	Approved symbol	GRB10	growth factor receptor bound protein 10	HGNC:4564	7p12.1
CXCR4	Approved symbol	CXCR4	C-X-C motif chemokine receptor 4	HGNC:2561	2q22.1
EBF2	Approved symbol	EBF2	EBF transcription factor 2	HGNC:19090	8p21.2
HDAC3	Approved symbol	HDAC3	histone deacetylase 3	HGNC:4854	5q31.3
ZBTB7B	Approved symbol	ZBTB7B	zinc finger and BTB domain containing 7B	HGNC:18668	1q21.3
PER2	Approved symbol	PER2	period circadian regulator 2	HGNC:8846	2q37.3
KDM6B	Approved symbol	KDM6B	lysine demethylase 6B	HGNC:29012	17p13.1
IL18	Approved symbol	IL18	interleukin 18	HGNC:5986	11q23.1
FABP4	Approved symbol	FABP4	fatty acid binding protein 4	HGNC:3559	8q21.13
BSCL2	Approved symbol	BSCL2	BSCL2 lipid droplet biogenesis associated, seipin	HGNC:15832	11q12.3
PDGFC	Approved symbol	PDGFC	platelet derived growth factor C	HGNC:8801	4q32.1
FH	Approved symbol	FH	fumarate hydratase	HGNC:3700	1q43
SMARCA4	Approved symbol	SMARCA4	SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4	HGNC:11100	19p13.2
CEBPB	Approved symbol	CEBPB	CCAAT enhancer binding protein beta	HGNC:1834	20q13.13
DECR1	Approved symbol	DECR1	2,4-dienoyl-CoA reductase 1	HGNC:2753	8q21.3
FGF21	Approved symbol	FGF21	fibroblast growth factor 21	HGNC:3678	19q13.33
EHMT1	Approved symbol	EHMT1	euchromatic histone lysine methyltransferase 1	HGNC:24650	9q34.3
KSR2	Approved symbol	KSR2	kinase suppressor of ras 2	HGNC:18610	12q24.22-q24.23
CAV1	Approved symbol	CAV1	caveolin 1	HGNC:1527	7q31.2
PLAC8	Approved symbol	PLAC8	placenta associated 8	HGNC:19254	4q21.22
YBX2	Approved symbol	YBX2	Y-box binding protein 2	HGNC:17948	17p13.1
OMA1	Approved symbol	OMA1	OMA1 zinc metallopeptidase	HGNC:29661	1p32.2-p32.1
CNOT3	Approved symbol	CNOT3	CCR4-NOT transcription complex subunit 3	HGNC:7879	19q13.42
APPL2	Approved symbol	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	HGNC:18242	12q23.3
PRKAB1	Approved symbol	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1	HGNC:9378	12q24.23
ADIPOR1	Approved symbol	ADIPOR1	adiponectin receptor 1	HGNC:24040	1q32.1
GJA1	Approved symbol	GJA1	gap junction protein alpha 1	HGNC:4274	6q22.31
GADD45G	Approved symbol	GADD45G	growth arrest and DNA damage inducible gamma	HGNC:4097	9q22.2
TRPV2	Approved symbol	TRPV2	transient receptor potential cation channel subfamily V member 2	HGNC:18082	17p11.2
GHRL	Approved symbol	GHRL	ghrelin and obestatin prepropeptide	HGNC:18129	3p25.3
PEMT	Approved symbol	PEMT	phosphatidylethanolamine N-methyltransferase	HGNC:8830	17p11.2
MFN2	Approved symbol	MFN2	mitofusin 2	HGNC:16877	1p36.22
CCR2	Approved symbol	CCR2	C-C motif chemokine receptor 2	HGNC:1603	3p21.31
LETMD1	Approved symbol	LETMD1	LETM1 domain containing 1	HGNC:24241	12q13.12
ACHE	Approved symbol	ACHE	acetylcholinesterase (Yt blood group)	HGNC:108	7q22.1
PRKAB2	Approved symbol	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2	HGNC:9379	1q21.1
OXTR	Approved symbol	OXTR	oxytocin receptor	HGNC:8529	3p25.3
G0S2	Approved symbol	G0S2	G0/G1 switch 2	HGNC:30229	1q32.2
HADH	Approved symbol	HADH	hydroxyacyl-CoA dehydrogenase	HGNC:4799	4q25
PPARGC1B	Approved symbol	PPARGC1B	PPARG coactivator 1 beta	HGNC:30022	5q32
THRA	Approved symbol	THRA	thyroid hormone receptor alpha	HGNC:11796	17q21.1
IL13	Approved symbol	IL13	interleukin 13	HGNC:5973	5q31.1
UCP2	Approved symbol	UCP2	uncoupling protein 2	HGNC:12518	11q13.4
APC	Approved symbol	APC	APC regulator of Wnt signaling pathway	HGNC:583	5q22.2
HSF1	Approved symbol	HSF1	heat shock transcription factor 1	HGNC:5224	8q24.3
ADCYAP1	Approved symbol	ADCYAP1	adenylate cyclase activating polypeptide 1	HGNC:241	18p11.32
OXT	Approved symbol	OXT	oxytocin/neurophysin I prepropeptide	HGNC:8528	20p13
IGF1R	Approved symbol	IGF1R	insulin like growth factor 1 receptor	HGNC:5465	15q26.3
SFXN5	Approved symbol	SFXN5	sideroflexin 5	HGNC:16073	2p13.2
DYNC1H1	Approved symbol	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	HGNC:2961	14q32.31
MFAP2	Approved symbol	MFAP2	microfibril associated protein 2	HGNC:7033	1p36.13
ALPL	Approved symbol	ALPL	alkaline phosphatase, biomineralization associated	HGNC:438	1p36.12
IL4	Approved symbol	IL4	interleukin 4	HGNC:6014	5q31.1
PTH2R	Approved symbol	PTH2R	parathyroid hormone 2 receptor	HGNC:9609	2q34
ESRRG	Approved symbol	ESRRG	estrogen related receptor gamma	HGNC:3474	1q41
VEGFA	Approved symbol	VEGFA	vascular endothelial growth factor A	HGNC:12680	6p21.1
LPIN1	Approved symbol	LPIN1	lipin 1	HGNC:13345	2p25.1
UCP1	Approved symbol	UCP1	uncoupling protein 1	HGNC:12517	4q31.1
STAT6	Approved symbol	STAT6	signal transducer and activator of transcription 6	HGNC:11368	12q13.3
KDM3A	Approved symbol	KDM3A	lysine demethylase 3A	HGNC:20815	2p11.2
LCN2	Approved symbol	LCN2	lipocalin 2	HGNC:6526	9q34.11
ELOVL6	Approved symbol	ELOVL6	ELOVL fatty acid elongase 6	HGNC:15829	4q25
LEPR	Approved symbol	LEPR	leptin receptor	HGNC:6554	1p31.3
PRLR	Approved symbol	PRLR	prolactin receptor	HGNC:9446	5p13.2
TSHR	Approved symbol	TSHR	thyroid stimulating hormone receptor	HGNC:12373	14q24-q31
PRDM16	Approved symbol	PRDM16	PR/SET domain 16	HGNC:14000	1p36.32
ACSL1	Approved symbol	ACSL1	acyl-CoA synthetase long chain family member 1	HGNC:3569	4q35.1
ELOVL3	Approved symbol	ELOVL3	ELOVL fatty acid elongase 3	HGNC:18047	10q24.32
FFAR4	Approved symbol	FFAR4	free fatty acid receptor 4	HGNC:19061	10q23.33
LEP	Approved symbol	LEP	leptin	HGNC:6553	7q32.1
CSNK2A1	Approved symbol	CSNK2A1	casein kinase 2 alpha 1	HGNC:2457	20p13
USP19	Approved symbol	USP19	ubiquitin specific peptidase 19	HGNC:12617	3p21.31
NPAS2	Approved symbol	NPAS2	neuronal PAS domain protein 2	HGNC:7895	2q11.2
ZFP36	Approved symbol	ZFP36	ZFP36 ring finger protein	HGNC:12862	19q13.2
OGDH	Approved symbol	OGDH	oxoglutarate dehydrogenase	HGNC:8124	7p13
TOMM34	Approved symbol	TOMM34	translocase of outer mitochondrial membrane 34	HGNC:15746	20q13.12
HIF1A	Approved symbol	HIF1A	hypoxia inducible factor 1 subunit alpha	HGNC:4910	14q23.2
APOA2	Approved symbol	APOA2	apolipoprotein A2	HGNC:601	1q23.3
APOA1	Approved symbol	APOA1	apolipoprotein A1	HGNC:600	11q23.3
SLC12A2	Approved symbol	SLC12A2	solute carrier family 12 member 2	HGNC:10911	5q23.3
EEF1D	Approved symbol	EEF1D	eukaryotic translation elongation factor 1 delta	HGNC:3211	8q24.3
HDAC2	Approved symbol	HDAC2	histone deacetylase 2	HGNC:4853	6q21
ETFBKMT	Approved symbol	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase	HGNC:28739	12p11.21
PTGES3	Approved symbol	PTGES3	prostaglandin E synthase 3	HGNC:16049	12q13.3
METTL22	Approved symbol	METTL22	methyltransferase 22, Kin17 lysine	HGNC:28368	16p13.2
PRKD1	Approved symbol	PRKD1	protein kinase D1	HGNC:9407	14q12
UNC45B	Approved symbol	UNC45B	unc-45 myosin chaperone B	HGNC:14304	17q12
DNAJC9	Approved symbol	DNAJC9	DnaJ heat shock protein family (Hsp40) member C9	HGNC:19123	10q22.2
LIMK1	Approved symbol	LIMK1	LIM domain kinase 1	HGNC:6613	7q11.23
HSPA1L	Approved symbol	HSPA1L	heat shock protein family A (Hsp70) member 1 like	HGNC:5234	6p21.33
FKBP5	Approved symbol	FKBP5	FKBP prolyl isomerase 5	HGNC:3721	6p21.31
NR3C1	Approved symbol	NR3C1	nuclear receptor subfamily 3 group C member 1	HGNC:7978	5q31.3
PTGES3L	Approved symbol	PTGES3L	prostaglandin E synthase 3 like	HGNC:43943	17q21.31
APAF1	Approved symbol	APAF1	apoptotic peptidase activating factor 1	HGNC:576	12q23.1
HSPA2	Approved symbol	HSPA2	heat shock protein family A (Hsp70) member 2	HGNC:5235	14q23.3
HSPA5	Approved symbol	HSPA5	heat shock protein family A (Hsp70) member 5	HGNC:5238	9q33.3
EIF2AK3	Approved symbol	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	HGNC:3255	2p11.2
GMEB1	Approved symbol	GMEB1	glucocorticoid modulatory element binding protein 1	HGNC:4370	1p35.3
SSUH2	Approved symbol	SSUH2	ssu-2 homolog	HGNC:24809	3p25.3
EEF1AKMT3	Approved symbol	EEF1AKMT3	EEF1A lysine methyltransferase 3	HGNC:24936	12q14.1
FKBP6	Approved symbol	FKBP6	FKBP prolyl isomerase family member 6 (inactive)	HGNC:3722	7q11.23
DNAJC6	Approved symbol	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	HGNC:15469	1p31.3
HDAC6	Approved symbol	HDAC6	histone deacetylase 6	HGNC:14064	Xp11.23
DAXX	Approved symbol	DAXX	death domain associated protein	HGNC:2681	6p21.32
TELO2	Approved symbol	TELO2	telomere maintenance 2	HGNC:29099	16p13.3
TSC2	Approved symbol	TSC2	TSC complex subunit 2	HGNC:12363	16p13.3
HTT	Approved symbol	HTT	huntingtin	HGNC:4851	4p16.3
METTL21C	Approved symbol	METTL21C	methyltransferase 21C, AARS1 lysine	HGNC:33717	13q33.1
TPR	Approved symbol	TPR	translocated promoter region, nuclear basket protein	HGNC:12017	1q31.1
BAG2	Approved symbol	BAG2	BAG cochaperone 2	HGNC:938	6p12.1
CDC37	Approved symbol	CDC37	cell division cycle 37, HSP90 cochaperone	HGNC:1735	19p13.2
CHORDC1	Approved symbol	CHORDC1	cysteine and histidine rich domain containing 1	HGNC:14525	11q14.3
BAK1	Approved symbol	BAK1	BCL2 antagonist/killer 1	HGNC:949	6p21.31
PDXP	Approved symbol	PDXP	pyridoxal phosphatase	HGNC:30259	22q13.1
MAPT	Approved symbol	MAPT	microtubule associated protein tau	HGNC:6893	17q21.31
IRAK1	Approved symbol	IRAK1	interleukin 1 receptor associated kinase 1	HGNC:6112	Xq28
GUCY1B1	Approved symbol	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1	HGNC:4687	4q32.1
FKBP4	Approved symbol	FKBP4	FKBP prolyl isomerase 4	HGNC:3720	12p13.33
UNC45A	Approved symbol	UNC45A	unc-45 myosin chaperone A	HGNC:30594	15q26.1
LMAN2	Approved symbol	LMAN2	lectin, mannose binding 2	HGNC:16986	5q35.3
HSPA13	Approved symbol	HSPA13	heat shock protein family A (Hsp70) member 13	HGNC:11375	21q11.2
CAMKMT	Approved symbol	CAMKMT	calmodulin-lysine N-methyltransferase	HGNC:26276	2p21
STIP1	Approved symbol	STIP1	stress induced phosphoprotein 1	HGNC:11387	11q13.1
HSPA9	Approved symbol	HSPA9	heat shock protein family A (Hsp70) member 9	HGNC:5244	5q31.2
FAF1	Approved symbol	FAF1	Fas associated factor 1	HGNC:3578	1p32.3
TFAM	Approved symbol	TFAM	transcription factor A, mitochondrial	HGNC:11741	10q21.1
ITGAM	Approved symbol	ITGAM	integrin subunit alpha M	HGNC:6149	16p11.2
HSPA8	Approved symbol	HSPA8	heat shock protein family A (Hsp70) member 8	HGNC:5241	11q24.1
BMAL1	Approved symbol	BMAL1	basic helix-loop-helix ARNT like 1	HGNC:701	11p15.3
HSPA7	Approved symbol	HSPA7	heat shock protein family A (Hsp70) member 7 (pseudogene)	HGNC:5240	1q23.3
HSP90AB1	Approved symbol	HSP90AB1	heat shock protein 90 alpha family class B member 1	HGNC:5258	6p21.1
CDK5	Approved symbol	CDK5	cyclin dependent kinase 5	HGNC:1774	7q36.1
KDR	Approved symbol	KDR	kinase insert domain receptor	HGNC:6307	4q12
ITGB2	Approved symbol	ITGB2	integrin subunit beta 2	HGNC:6155	21q22.3
AHR	Approved symbol	AHR	aryl hydrocarbon receptor	HGNC:348	7p21.1
METTL18	Approved symbol	METTL18	methyltransferase 18, RPL3 N3(tau)-histidine	HGNC:28793	1q24.2
AHSA1	Approved symbol	AHSA1	activator of HSP90 ATPase activity 1	HGNC:1189	14q24.3
HSPA14	Approved symbol	HSPA14	heat shock protein family A (Hsp70) member 14	HGNC:29526	10p13
KPNB1	Approved symbol	KPNB1	karyopherin subunit beta 1	HGNC:6400	17q21.32
BCOR	Approved symbol	BCOR	BCL6 corepressor	HGNC:20893	Xp11.4
GBP1	Approved symbol	GBP1	guanylate binding protein 1	HGNC:4182	1p22.2
CDC37L1	Approved symbol	CDC37L1	cell division cycle 37 like 1, HSP90 cochaperone	HGNC:17179	9p24.1
DNAJC7	Approved symbol	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	HGNC:12392	17q21.2
METTL23	Approved symbol	METTL23	methyltransferase 23, arginine	HGNC:26988	17q25.2
EXT1	Approved symbol	EXT1	exostosin glycosyltransferase 1	HGNC:3512	8q24.11
ADAM17	Approved symbol	ADAM17	ADAM metallopeptidase domain 17	HGNC:195	2p25.1
ID1	Approved symbol	ID1	inhibitor of DNA binding 1	HGNC:5360	20q11.21
TLR4	Approved symbol	TLR4	toll like receptor 4	HGNC:11850	9q33.1
ACOT11	Approved symbol	ACOT11	acyl-CoA thioesterase 11	HGNC:18156	1p32.3
RB1	Approved symbol	RB1	RB transcriptional corepressor 1	HGNC:9884	13q14.2
FOXC2	Approved symbol	FOXC2	forkhead box C2	HGNC:3801	16q24.1
TFE3	Approved symbol	TFE3	transcription factor binding to IGHM enhancer 3	HGNC:11752	Xp11.23
ZNF423	Approved symbol	ZNF423	zinc finger protein 423	HGNC:16762	16q12.1
IP6K1	Approved symbol	IP6K1	inositol hexakisphosphate kinase 1	HGNC:18360	3p21.31
ABHD6	Approved symbol	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	HGNC:21398	3p14.3
PLCL1	Approved symbol	PLCL1	phospholipase C like 1 (inactive)	HGNC:9063	2q33.1
ACTN3	Approved symbol	ACTN3	actinin alpha 3	HGNC:165	11q13.2
RHEB	Approved symbol	RHEB	Ras homolog, mTORC1 binding	HGNC:10011	7q36.1
LGR4	Approved symbol	LGR4	leucine rich repeat containing G protein-coupled receptor 4	HGNC:13299	11p14.1
WNT10B	Approved symbol	WNT10B	Wnt family member 10B	HGNC:12775	12q13.12
HOXC10	Approved symbol	HOXC10	homeobox C10	HGNC:5122	12q13.13
QKI	Approved symbol	QKI	QKI, KH domain containing RNA binding	HGNC:21100	6q26
IL18R1	Approved symbol	IL18R1	interleukin 18 receptor 1	HGNC:5988	2q12.1
NR1H3	Approved symbol	NR1H3	nuclear receptor subfamily 1 group H member 3	HGNC:7966	11p11.2
