UniProtKB:Q9UHD1	Cysteine and histidine-rich domain-containing protein 1		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR12621	protein	UniProtKB:Q9UHD1	PMID:19875381	20101221
UniProtKB:P37198	Nuclear pore glycoprotein p62		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q63850|ensembl:ENSMUSP00000056785	PANTHER:PTHR12084	protein	UniProtKB:P37198	GO_REF:0000107	20250313
UniProtKB:P10636	Microtubule-associated protein tau		GO:0051879	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""UBERON:0000955"", ""label"": ""brain""}}"	ARUK-UCL	NCBITaxon:9606	IPI	UniProtKB:P11499	PANTHER:PTHR11501	protein	UniProtKB:P10636	PMID:17517623	20180226
UniProtKB:P04798	Cytochrome P450 1A1		GO:0051879		UniProt	NCBITaxon:9606	ISS	UniProtKB:P00185	PANTHER:PTHR24299	protein	UniProtKB:P04798	GO_REF:0000024	20190108
UniProtKB:P04798	Cytochrome P450 1A1		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P00185|ensembl:ENSRNOP00000026473	PANTHER:PTHR24299	protein	UniProtKB:P04798	GO_REF:0000107	20250313
UniProtKB:Q02153	Guanylate cyclase soluble subunit beta-1		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P20595|ensembl:ENSRNOP00000062785	PANTHER:PTHR45655	protein	UniProtKB:Q02153	GO_REF:0000107	20250313
UniProtKB:Q9H3U1	Protein unc-45 homolog A		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q99KD5|ensembl:ENSMUSP00000032748	PANTHER:PTHR45994	protein	UniProtKB:Q9H3U1	GO_REF:0000107	20250313
UniProtKB:Q9H3U1	Protein unc-45 homolog A		GO:0051879		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002339981|MGI:MGI:2142246|MGI:MGI:2443377	PANTHER:PTHR45994	protein		GO_REF:0000033	20220323
UniProtKB:O14830	Serine/threonine-protein phosphatase with EF-hands 2		GO:0051879		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR45668	protein	UniProtKB:O14830	PMID:20674765	20110428
UniProtKB:O14830	Serine/threonine-protein phosphatase with EF-hands 2		GO:0051879		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002903304|UniProtKB:O14830	PANTHER:PTHR45668	protein		GO_REF:0000033	20180209
UniProtKB:Q00613	Heat shock factor protein 1		GO:0051879		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10015	protein	UniProtKB:Q00613	PMID:11583998	20161130
UniProtKB:P31948	Stress-induced-phosphoprotein 1		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR22904	protein	UniProtKB:P31948	PMID:29127155	20180306
UniProtKB:P31948	Stress-induced-phosphoprotein 1		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P08238	PANTHER:PTHR22904	protein	UniProtKB:P31948	PMID:29127155	20180306
UniProtKB:P31948	Stress-induced-phosphoprotein 1		GO:0051879		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001877032|UniProtKB:P31948|UniProtKB:F8RP11|UniProtKB:Q43468|UniProtKB:Q8ILC1|SGD:S000005553	PANTHER:PTHR22904	protein		GO_REF:0000033	20230111
UniProtKB:Q08752	Peptidyl-prolyl cis-trans isomerase D		GO:0051879		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11071	protein	UniProtKB:Q08752	PMID:12145316	20130110
UniProtKB:O00327	Basic helix-loop-helix ARNT-like protein 1		GO:0051879		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR23042	protein	UniProtKB:O00327	PMID:9079689	20080522
UniProtKB:Q00535	Cyclin-dependent kinase 5		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P49615|ensembl:ENSMUSP00000030814	PANTHER:PTHR24056	protein	UniProtKB:Q00535	GO_REF:0000107	20250313
UniProtKB:P35968	Vascular endothelial growth factor receptor 2		GO:0051879		BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR24416	protein	UniProtKB:P35968	PMID:19267251	20100325
UniProtKB:P05181	Cytochrome P450 2E1		GO:0051879		UniProt	NCBITaxon:9606	ISS	UniProtKB:P05182	PANTHER:PTHR24300	protein	UniProtKB:P05181	GO_REF:0000024	20190108
UniProtKB:P35869	Aryl hydrocarbon receptor		GO:0051879		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR10649	protein	UniProtKB:P35869	PMID:9079689	20080522
UniProtKB:O95433	Activator of 90 kDa heat shock protein ATPase homolog 1		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BK64|ensembl:ENSMUSP00000021425	PANTHER:PTHR13009	protein	UniProtKB:O95433	GO_REF:0000107	20250313
UniProtKB:O95433	Activator of 90 kDa heat shock protein ATPase homolog 1		GO:0051879		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00089745	PANTHER:PTHR13009	protein	UniProtKB:O95433	GO_REF:0000117	20250428
UniProtKB:O95433	Activator of 90 kDa heat shock protein ATPase homolog 1		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR13009	protein	UniProtKB:O95433	PMID:29127155	20180306
UniProtKB:Q14974	Importin subunit beta-1		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P70168|ensembl:ENSMUSP00000001479	PANTHER:PTHR10527	protein	UniProtKB:Q14974	GO_REF:0000107	20250313
UniProtKB:P32455	Guanylate-binding protein 1		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR10751	protein	UniProtKB:P32455	PMID:24337748	20150303
UniProtKB:Q9HC29	Nucleotide-binding oligomerization domain-containing protein 2		GO:0051879		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24106	protein	UniProtKB:Q9HC29	PMID:24790089	20150511
