bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	annotation_class_label	annotation_extension_class_label	term
UniProtKB:P08697	Alpha-2-antiplasmin		GO:0051918		InterPro	NCBITaxon:9606	IEA	InterPro:IPR033833	PANTHER:PTHR11461	protein	UniProtKB:P08697	GO_REF:0000002	20250429	SERPINF2	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P08697	Alpha-2-antiplasmin		GO:0051918		Ensembl	NCBITaxon:9606	IEA	UniProtKB:A0A8I6AQI7,ensembl:ENSRNOP00000096218	PANTHER:PTHR11461	protein	UniProtKB:P08697	GO_REF:0000107	20250313	SERPINF2	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P08697	Alpha-2-antiplasmin		GO:0051918		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11461	protein	UniProtKB:P08697	PMID:134998	20111202	SERPINF2	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P08697	Alpha-2-antiplasmin		GO:0050820		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002606984,UniProtKB:P08697,RGD:1306692	PANTHER:PTHR11461	protein		GO_REF:0000033	20240924	SERPINF2	Homo sapiens	positive regulation of coagulation		positive_regulation_of_coagulation
UniProtKB:P25116	Proteinase-activated receptor 1		GO:0030194		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P30558,ensembl:ENSMUSP00000061754	PANTHER:PTHR24232	protein	UniProtKB:P25116	GO_REF:0000107	20250313	F2R	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P25116	Proteinase-activated receptor 1		GO:0030194		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR24232	protein	UniProtKB:P25116	PMID:9038223	20080425	F2R	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P25116	Proteinase-activated receptor 1		GO:0030194		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002796613,UniProtKB:P25116,MGI:MGI:101802	PANTHER:PTHR24232	protein		GO_REF:0000033	20200330	F2R	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P21731	Thromboxane A2 receptor		GO:0030194		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P34978,ensembl:ENSRNOP00000027932	PANTHER:PTHR11866	protein	UniProtKB:P21731	GO_REF:0000107	20250313	TBXA2R	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P22415	Upstream stimulatory factor 1		GO:0051918		BHF-UCL	NCBITaxon:9606	IC	GO:0000981	PANTHER:PTHR46117	protein	UniProtKB:P22415	PMID:18234320	20080624	USF1	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:Q4KMQ2	Anoctamin-6		GO:0002543		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR12308	protein	UniProtKB:Q4KMQ2	PMID:21107324	20110406	ANO6	Homo sapiens	activation of blood coagulation via clotting cascade		positive_regulation_of_coagulation
UniProtKB:Q4KMQ2	Anoctamin-6		GO:0097045		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR12308	protein	UniProtKB:Q4KMQ2	PMID:21107324	20110429	ANO6	Homo sapiens	phosphatidylserine exposure on blood platelet		positive_regulation_of_coagulation
UniProtKB:P05121	Plasminogen activator inhibitor 1		GO:0030194		BHF-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR11461	protein	UniProtKB:P05121	PMID:9207454	20100219	SERPINE1	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P05121	Plasminogen activator inhibitor 1		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS		PANTHER:PTHR11461	protein	UniProtKB:P05121	PMID:1695900	20250310	SERPINE1	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P05121	Plasminogen activator inhibitor 1		GO:0051918		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11461	protein	UniProtKB:P05121	PMID:2503541	20100219	SERPINE1	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P05121	Plasminogen activator inhibitor 1		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS		PANTHER:PTHR11461	protein	UniProtKB:P05121	PMID:8508955	20250127	SERPINE1	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P05121	Plasminogen activator inhibitor 1		GO:0050820		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002606950,UniProtKB:P05121,RGD:3249	PANTHER:PTHR11461	protein		GO_REF:0000033	20240924	SERPINE1	Homo sapiens	positive regulation of coagulation		positive_regulation_of_coagulation
UniProtKB:P32119	Peroxiredoxin-2		GO:0030194		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q61171,ensembl:ENSMUSP00000105356	PANTHER:PTHR10681	protein	UniProtKB:P32119	GO_REF:0000107	20250313	PRDX2	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:Q15389	Angiopoietin-1		GO:0050820		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR19143	protein	UniProtKB:Q15389	PMID:29323190	20240613	ANGPT1	Homo sapiens	positive regulation of coagulation		positive_regulation_of_coagulation
